Ref,Val,Package,PosX,PosY,Rot,Side
"C1","27pF","C_0805_2012Metric",84.794089,-86.868000,180.000000,top
"C2","27pF","C_0805_2012Metric",92.505489,-86.842600,0.000000,top
"C3","100nF","C_0402_1005Metric",80.721200,-59.733343,90.000000,top
"C4","100nF","C_0402_1005Metric",94.183200,-78.460600,0.000000,top
"C5","100nF","C_0402_1005Metric",94.183200,-74.770143,0.000000,top
"C6","100nF","C_0402_1005Metric",93.014800,-71.602600,90.000000,top
"C7","100nF","C_0402_1005Metric",89.255600,-71.620543,90.000000,top
"C8","100nF","C_0402_1005Metric",83.718400,-74.109743,180.000000,top
"C9","100nF","C_0402_1005Metric",83.718400,-78.460600,180.000000,top
"C10","100nF","C_0402_1005Metric",88.544400,-83.101343,-90.000000,top
"C11","100nF","C_0402_1005Metric",88.239600,-71.620543,90.000000,top
"C12","100nF","C_0402_1005Metric",89.611200,-83.101343,-90.000000,top
"C13","1uF","C_0402_1005Metric",91.998800,-71.602600,90.000000,top
"C14","1uF","C_0402_1005Metric",90.966289,-71.602600,90.000000,top
"C15","10uF","CP_Elec_5x5.3",57.810400,-70.002400,180.000000,top
"C16","100uF","CP_Elec_5x5.3",57.810400,-83.718400,0.000000,top
"C17","100nF","C_0402_1005Metric",99.400000,-77.749600,180.000000,top
"C19","10uF","C_0402_1005Metric",106.200000,-67.700000,0.000000,top
"C20","100nF","C_0402_1005Metric",109.800000,-68.500000,0.000000,top
"C21","10uF","C_0805_2012Metric",105.410000,-85.852000,180.000000,top
"C22","10uF","C_0805_2012Metric",127.320000,-85.852000,180.000000,top
"C23","10uF","C_0805_2012Metric",149.164000,-85.852000,180.000000,top
"D1","LED","LED_0805_2012Metric",77.825600,-78.994000,0.000000,top
"J1","292303-1","TE_292303-1",130.358000,-88.855500,0.000000,top
"J2","292303-1","TE_292303-1",108.514000,-88.855500,0.000000,top
"J4","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",66.395600,-87.020400,90.000000,top
"J5","Conn_01x04_Male","JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical",73.914000,-70.104000,180.000000,top
"J6","292303-1","TE_292303-1",152.202000,-88.900000,0.000000,top
"R1","1k","R_0805_2012Metric",88.652989,-86.842600,180.000000,top
"R2","27","R_0805_2012Metric",93.599000,-68.826543,0.000000,top
"R3","27","R_0805_2012Metric",93.599000,-66.540543,0.000000,top
"R4","27","R_0402_1005Metric",109.759500,-69.822100,0.000000,top
"R5","27","R_0402_1005Metric",109.759500,-70.965100,0.000000,top
"R6","27","R_0402_1005Metric",109.759500,-72.362100,0.000000,top
"R7","27","R_0402_1005Metric",109.759500,-73.505100,0.000000,top
"R8","27","R_0402_1005Metric",109.759500,-75.029100,0.000000,top
"R9","27","R_0402_1005Metric",109.759500,-76.172100,0.000000,top
"R10","10k","R_0402_1005Metric",91.440000,-83.101343,-90.000000,top
"R11","47","R_0805_2012Metric",77.825600,-81.280000,180.000000,top
"R12","33k","R_0805_2012Metric",164.100000,-85.750000,0.000000,top
"R13","2.7k 1%","R_0402_1005Metric",109.804500,-67.300000,180.000000,top
"R14","33k","R_0805_2012Metric",142.200000,-86.000000,0.000000,top
"R15","33k","R_0805_2012Metric",120.250000,-86.000000,0.000000,top
"U1","RP2040","QFN40P700X700X90-57N",88.934289,-77.444600,0.000000,top
"U2","FE1.1s","SSOP-28_3.9x9.9mm_P0.635mm",104.171500,-73.632100,180.000000,top
"U3","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",82.651600,-65.778543,90.000000,top
"U4","AZ1117EH-3.3TRG1","SOT-223-3_TabPin2",57.302400,-76.911200,180.000000,top
"U5","USBLC6-2SC6","SOT-23-6",155.702000,-84.714500,-90.000000,top
"U6","USBLC6-2SC6","SOT-23-6",133.858000,-84.730400,-90.000000,top
"U7","USBLC6-2SC6","SOT-23-6",112.014000,-84.714500,-90.000000,top
"Y1","12MHz","Crystal_SMD_HC49-SD",89.061289,-90.830400,0.000000,top
"Y2","12MHz","Crystal_SMD_HC49-SD",105.596000,-62.484000,0.000000,top
